业务,客户编码,MDMID,订单编码,订单行号,订单行号代码,结算单编码,结算单行号,收入含税金额,收入不含税金额
零售,627972,10021062,13233396,1,HLB-5e04bfd0-9ddb-11f0-8cdb-0c42a112278c,TCH202604160001,3,-1950.0,-1725.66
零售,627972,10021045,14422872,1,HLB-ef8b09a6-2331-11f1-8cdb-0c42a112278c,TCH202604160001,2,-3721.0,-3292.92
零售,627972,10021053,14246330,1,HLB-5ab7481e-0177-11f1-8cdb-0c42a112278c,TCH202604160001,1,-5613.0,-4967.26
零售,601488,10021857,12508818,10,HLB-14f170d3-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508818,7,HLB-14f1709e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508818,5,HLB-14f170fe-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508818,4,HLB-14f17028-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508818,1,HLB-14f1700e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,100,HLB-159a7068-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,96,HLB-159a713e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,94,HLB-159a6e69-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,93,HLB-157a5f5d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,89,HLB-157a5ee3-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,87,HLB-159a710a-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,86,HLB-159a6e07-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,85,HLB-159a6e8d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,84,HLB-159a7051-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,82,HLB-159a71b6-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,81,HLB-157a606f-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,80,HLB-157a605c-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,79,HLB-157a6009-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,78,HLB-157a5f71-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,77,HLB-157a5f0b-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,75,HLB-159a6f09-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,73,HLB-159a7019-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,67,HLB-159a7128-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,64,HLB-159a719e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,63,HLB-159a6fbf-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,61,HLB-159a6f8d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,55,HLB-159a7172-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,51,HLB-157a6046-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,50,HLB-159a7157-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,49,HLB-157a601d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,48,HLB-157a6031-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,42,HLB-157a5fc6-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,39,HLB-159a70f1-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,37,HLB-157a5ece-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,36,HLB-157a5ef7-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,34,HLB-159a6f25-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,28,HLB-159a6f58-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,27,HLB-159a707e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,26,HLB-157a5f48-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,24,HLB-159a7037-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,23,HLB-157a5fb1-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,22,HLB-157a5fdc-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,21,HLB-159a6ee4-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,19,HLB-159a7003-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,18,HLB-159a718a-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,17,HLB-159a6fd3-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,15,HLB-159a6eb9-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,14,HLB-157a5f1e-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,10,HLB-157a5f32-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,9,HLB-159a6f71-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,8,HLB-159a70d8-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,7,HLB-159a6fa7-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,4,HLB-157a5ff2-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,2,HLB-157a5f9d-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12508822,1,HLB-159a6fec-570e-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,-282.06,-249.61
零售,601488,10021857,12517923,79,HLB-f2e4279e-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,77,HLB-f2e42636-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,74,HLB-f3008ed8-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,68,HLB-f30090e3-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,65,HLB-f2e4291e-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,63,HLB-f3008e9a-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,59,HLB-f2e4294b-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,58,HLB-f2e42a11-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,57,HLB-f2e426b9-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,56,HLB-f3008fd1-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,54,HLB-f3009048-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,53,HLB-f30090bc-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12517923,52,HLB-f2e4266d-5896-11f0-8cdb-0c42a112278c,ZRTC20260424025,21,282.06,249.61
零售,601488,10021857,12658722,32,HLB-518bed83-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,30,HLB-518bee58-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,29,HLB-518bee2a-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,27,HLB-518beedf-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,25,HLB-518becbf-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,19,HLB-518bedf9-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,18,HLB-518beeb2-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,16,HLB-518bee9b-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,15,HLB-518bee43-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,12,HLB-518bed6d-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,10,HLB-518bed9c-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,7,HLB-518bee13-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,4,HLB-518bede1-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,3,HLB-518bed3a-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12658722,1,HLB-518bee86-6a84-11f0-8cdb-0c42a112278c,ZRTC20260424025,20,-281.3,-248.94
零售,601488,10021857,12496900,8,HLB-97640c49-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,7,HLB-97640c32-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,6,HLB-97640bbc-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,5,HLB-97640bd2-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,4,HLB-97640c19-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,3,HLB-97640c7d-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,2,HLB-97640c02-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12496900,1,HLB-97640c5e-5594-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12512957,1,HLB-5ee877cb-57ca-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12386384,1,HLB-3746385b-4fdc-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12488471,1,HLB-59964b08-556f-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12446006,10,HLB-18906e21-532b-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12446006,9,HLB-18906db0-532b-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12446006,8,HLB-18906e0c-532b-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
零售,601488,10021857,12446006,7,HLB-18906e37-532b-11f0-8cdb-0c42a112278c,ZRTC20260424025,10,-566.78,-501.58
