法人客户编码,MDM编码,结算单编号,含税开票总金额
601488,10023391,ZRTC20260407044,-27204.74
601488,10023391,ZRTC20260407044,-12995.55
601488,10023391,ZRTC20260407044,-10493.25
601488,10023391,ZRTC20260407044,-2331.83
601488,10023391,ZRTC20260407044,-10493.25
601488,10023391,ZRTC20260407044,-4663.67
601488,10023391,ZRTC20260407044,-6288.36
601488,10023391,ZRTC20260407044,-51438.69
627972,10021053,TCH202604160001,-5613.0
627972,10021045,TCH202604160001,-3721.0
627972,10021062,TCH202604160001,-1950.0
601488,10021857,ZRTC20260424025,-669.24
601488,10021857,ZRTC20260424025,-54180.37
601488,10021857,ZRTC20260424025,-941.73
601488,10021857,ZRTC20260424025,-223864.23
601488,10021857,ZRTC20260424025,-5250.57
601488,10021857,ZRTC20260424025,-1020.21
601488,10021857,ZRTC20260424025,-1486.22
601488,10021857,ZRTC20260424025,-74314.68
601488,10021857,ZRTC20260424025,-425.09
601488,10021857,ZRTC20260424025,-124126.55
601488,10021857,ZRTC20260424025,-400.25
601488,10021857,ZRTC20260424025,-219743.4
601488,10021857,ZRTC20260424025,-693.22
601488,10021857,ZRTC20260424025,-558.06
601488,10021857,ZRTC20260424025,-3656.91
601488,10021857,ZRTC20260424025,-16077.66
601488,10021857,ZRTC20260424025,-311.73
601488,10021857,ZRTC20260424025,-29529.84
601488,10021857,ZRTC20260424025,-213.63
601488,10021857,ZRTC20260424025,-131367.75
601488,10021857,ZRTC20260424025,-139057.68
601488,10021857,ZRTC20260424025,-2493.98
2070,10023348,NBJS202604270006,4858.0
622699,10016480,100206FP202603240001,8152.0
604425,10021858,TCL202604170005,469980.0
604425,10021858,TCL202604170005,42750.0
604425,10021858,TCL202604170005,166500.0
604425,10021858,TCL202604170005,131040.0
604425,10021858,TCL202604170005,734910.0
604425,10021858,TCL202604170005,31500.0
604425,10021858,TCL202604170002,441000.0
604425,10021858,TCL202604170002,222000.0
604425,10021858,TCL202604170002,267410.0
604425,10021858,TCL202604170002,471240.0
604425,10021858,TCL202604170002,44000.0
604425,10021858,TCL202604170002,121000.0
