DMS结算订单,DMS行唯一ID,DRP订单金额,销售办事处,DRP客户编号
TCH202604160001,1-7TBZZ4,-5613.0,Z228,10021053
TCH202604160001,1-7TBZZ6,-3721.0,Z228,10021045
TCH202604160001,1-7TBZZ8,-1950.0,Z228,10021062
ZRTC20260407044,1-7O45EF,-27204.74,Z255,10023391
ZRTC20260407044,1-7O45EG,-12995.55,Z255,10023391
ZRTC20260407044,1-7O45EH,-10493.25,Z255,10023391
ZRTC20260407044,1-7O45EI,-2331.83,Z255,10023391
ZRTC20260407044,1-7O45EJ,-10493.25,Z255,10023391
ZRTC20260407044,1-7O45EK,-4663.67,Z255,10023391
ZRTC20260407044,1-7O45EL,-6288.36,Z255,10023391
ZRTC20260407044,1-7O45EM,-51438.69,Z255,10023391
ZRTC20260424025,1-7Z1TIB,-669.24,K001,10021857
ZRTC20260424025,1-7Z1TIC,-54180.37,K001,10021857
ZRTC20260424025,1-7Z1TID,-941.73,K001,10021857
ZRTC20260424025,1-7Z1TIE,-223864.23,K001,10021857
ZRTC20260424025,1-7Z1TIF,-5250.57,K001,10021857
ZRTC20260424025,1-7Z1TIG,-1020.21,K001,10021857
ZRTC20260424025,1-7Z1TIH,-1486.22,K001,10021857
ZRTC20260424025,1-7Z1TII,-74314.68,K001,10021857
ZRTC20260424025,1-7Z1TIJ,-425.09,K001,10021857
ZRTC20260424025,1-7Z1TIK,-124126.55,K001,10021857
ZRTC20260424025,1-7Z1TIL,-400.25,K001,10021857
ZRTC20260424025,1-7Z1TIM,-219743.4,K001,10021857
ZRTC20260424025,1-7Z1TIN,-693.22,K001,10021857
ZRTC20260424025,1-7Z1TIO,-558.06,K001,10021857
ZRTC20260424025,1-7Z1TIP,-3656.91,K001,10021857
ZRTC20260424025,1-7Z1TIQ,-16077.66,K001,10021857
ZRTC20260424025,1-7Z1TIR,-311.73,K001,10021857
ZRTC20260424025,1-7Z1TIS,-29529.84,K001,10021857
ZRTC20260424025,1-7Z1TIT,-213.63,K001,10021857
ZRTC20260424025,1-7Z1TIU,-131367.75,K001,10021857
ZRTC20260424025,1-7Z1TIV,-139057.68,K001,10021857
ZRTC20260424025,1-7Z1TIW,-2493.98,K001,10021857
100206FP202603240001,1-7E58JO,8152.0,X001,10016480
TCL202604170002,1-7TLFUM,441000.0,K001,10021858
TCL202604170002,1-7TLG4D,222000.0,K001,10021858
TCL202604170002,1-7TLG76,267410.0,K001,10021858
TCL202604170002,1-7TM6JM,471240.0,K001,10021858
TCL202604170002,1-7TM6QN,44000.0,K001,10021858
TCL202604170002,1-7TM6RS,121000.0,K001,10021858
TCL202604170005,1-7TMXJY,469980.0,K001,10021858
TCL202604170005,1-7TMXUC,42750.0,K001,10021858
TCL202604170005,1-7TMXV2,166500.0,K001,10021858
TCL202604170005,1-7TMXX6,131040.0,K001,10021858
TCL202604170005,1-7TMY03,734910.0,K001,10021858
TCL202604170005,1-7TNID9,31500.0,K001,10021858
