DMS结算订单,DMS行唯一ID,DMS行下层明细ID,DMS参考订单号码,DMS订单行号,工厂,DRP订单金额,DRP/LTC折扣金额,SD 凭证,交货,开票凭证,处理日期,处理时间,消息文本,信息类型,DMS收入确认回传,消息文本.1
TCH202604160001,1-7TBZZ4,1-6S5U8Z,14246330,HLB-5ab7481e-0177-11f1-8cdb-0c42a112278c,,-5613.0,0,5112438970,8020132660.0,920785106,2026-04-20,12:56:43,销售订单5112438970创建成功交货单:8020132660开票：0920785106,S,1,成功
TCH202604160001,1-7TBZZ6,1-7A4NBJ,14422872,HLB-ef8b09a6-2331-11f1-8cdb-0c42a112278c,,-3721.0,0,5112438970,8020132660.0,920785106,2026-04-20,12:56:43,销售订单5112438970创建成功交货单:8020132660开票：0920785106,S,1,成功
TCH202604160001,1-7TBZZ8,1-44TWTJ,13233396,HLB-5e04bfd0-9ddb-11f0-8cdb-0c42a112278c,,-1950.0,0,5112438970,8020132660.0,920785106,2026-04-20,12:56:43,销售订单5112438970创建成功交货单:8020132660开票：0920785106,S,1,成功
ZRTC20260407044,1-7O45EF,QC@74141345,12064843,HLB-0665be7c-3a16-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@74141346,12064843,HLB-0665be94-3a16-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@74141394,12064843,HLB-0665bea9-3a16-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@74232562,11894925,HLB-4e1b2f19-2b0c-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254557,12064552,HLB-b3385e31-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254560,12064552,HLB-b3385de1-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254567,12064552,HLB-b3385e1d-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254569,12064552,HLB-b3385d92-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254572,12064552,HLB-b3385d7d-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254580,12064552,HLB-b3385e44-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254591,12064552,HLB-b3385e09-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254597,12064552,HLB-b3385df4-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254599,12064552,HLB-b3385dcd-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254619,12064552,HLB-b3385dba-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@75254655,12064552,HLB-b3385da6-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223505,12064553,HLB-b35d61ca-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223508,12064553,HLB-b35d61fb-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223513,12064553,HLB-b35d60a2-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223517,12064553,HLB-b35d6084-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223523,12064553,HLB-b35d6212-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223524,12064553,HLB-b35d61e5-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223535,12064553,HLB-b35d6180-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223536,12064553,HLB-b35d6226-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223542,12064553,HLB-b35d626d-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223551,12064553,HLB-b35d619c-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223554,12064553,HLB-b35d6168-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223555,12064553,HLB-b35d6013-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223567,12064553,HLB-b35d60fa-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223569,12064553,HLB-b35d6256-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
ZRTC20260407044,1-7O45EF,QC@76223587,12064553,HLB-b35d614b-3a13-11f0-8cdb-0c42a112278c,1000.0,-777.27,0,60244491,,920694885,2026-04-09,12:17:48,销售订单0060244491创建成功开票：0920694885,S,1,成功
