业务,单据号,特殊类型,发票费用类别,返利类型,客户NO,MDMID,过账时间,SAP收入确认金额,DRP收入确认金额,LTC收入确认金额,DMS收入确认金额,收入确认金额差异,差异标识,Unnamed: 14
 ,TCH202604160001,常规结算,货品结算,红-统筹客户,627972,10021045,2026-04,0.0,0,0,3292.92,-3292.92,有差异,广东分公司代运营，组织架构变化；dms统筹结算单，订单行同办事处不同mdmid，sap同办事处只取同一个mdmid
零售,TCH202604160001,常规结算,货品结算,红-统筹客户,627972,10021053,2026-04,9985.84,0,0,4967.26,5018.58,有差异,广东分公司代运营，组织架构变化；dms统筹结算单，订单行同办事处不同mdmid，sap同办事处只取同一个mdmid
零售,TCH202604160001,常规结算,货品结算,红-统筹客户,627972,10021062,2026-04,0.0,0,0,1725.66,-1725.66,有差异,广东分公司代运营，组织架构变化；dms统筹结算单，订单行同办事处不同mdmid，sap同办事处只取同一个mdmid
零售,ZRTC20260407044,,折让结算,折让-统筹,601488,10003584,2026-04,0.0,0,0,111424.69,-111424.69,有差异,"北京每个月都有，要看看,DMS的结算单的MDMID有问题，传输给sap时mdmid是10023391。"
零售,ZRTC20260407044,,折让结算,折让-统筹,601488,10023391,2026-04,111424.19,0,0,0.0,111424.19,有差异,"北京每个月都有，要看看,DMS的结算单的MDMID有问题，传输给sap时mdmid是10023391。"
零售,ZRTC20260424025,,折让结算,折让-统筹,601488,10021857,2026-04,911843.36,0,0,1823690.66,-911847.3,有差异,DMS翻倍了，要看看
幸福家,100206FP202603240001,常规结算,货品结算,蓝-直营超体,2070,10016480,2026-04,-4299.12,0,0,0.0,-4299.12,有差异,超体合计为0
零售,100206FP202603240001,常规结算,货品结算,蓝-直营超体,622699,10016480,2026-04,0.0,0,0,-4299.12,4299.12,有差异,超体合计为0
零售,TCL202604170002,常规结算,货品结算,蓝-统筹客户,604425,10021858,2026-04,-1386415.93,0,0,-1386415.15,-0.78,有差异,尾差
零售,TCL202604170005,常规结算,货品结算,蓝-统筹客户,604425,10021858,2026-04,-1395292.04,0,0,-1395290.74,-1.3,有差异,尾差
